City,City_Admaster,City_EN,Province,Province_EN,Region,Tier
七台河,七台河市,Qitaihe,黑龙江,Heilongjiang,North,Tier 5
三亚,三亚市,Sanya,海南,Hainan,South,Tier 3
三明,三明市,Sanming,福建,Fujian,East,Tier 3
三门峡,三门峡市,Sanmenxia,河南,Henan,North,Tier 5
上海,上海市,Shanghai,上海,Shanghai,East,Tier 1
上饶,上饶市,Shangrao,江西,Jiangxi,South,Tier 3
东莞,东莞市,Dongguan,广东,Guangdong,South,new Tier 1
东营,东营市,Dongying,山东,Shandong,North,Tier 3
中卫,中卫市,Zhongwei,宁夏,Ningxia,West,Tier 5
中山,中山市,Zhongshan,广东,Guangdong,South,Tier 2
临汾,临汾市,Linfen,山西,Shanxi,North,Tier 5
临沂,临沂市,Linyi,山东,Shandong,North,Tier 3
临沧,临沧市,Lincang,云南,Yunnan,West,Tier 5
丹东,丹东市,Dandong,辽宁,Liaoning,North,Tier 3
丽水,丽水市,Lishui,浙江,Zhejiang,East,Tier 3
丽江,丽江市,Lijiang,云南,Yunnan,West,Tier 3
乌兰察布,乌兰察布市,Ulanqab,内蒙古,Neimenggu,North,Tier 5
乌海,乌海市,Wuhai,内蒙古,Neimenggu,North,Tier 5
乌鲁木齐,乌鲁木齐市,Urumqi,新疆,Xinjiang,West,Tier 2
乐山,乐山市,Leshan,四川,Sichuan,West,Tier 5
九江,九江市,Jiujiang,江西,Jiangxi,South,Tier 3
云浮,云浮市,Yunfu,广东,Guangdong,South,Tier 5
亳州,亳州市,Bozhou,安徽,Anhui,East,Tier 5
伊春,伊春市,Yichun,黑龙江,Heilongjiang,North,Tier 5
伊犁,伊犁哈萨克自治州,Yili,新疆,Xinjiang,West,Tier 5
佛山,佛山市,Foshan,广东,Guangdong,South,Tier 2
佳木斯,佳木斯市,Jiamusi,黑龙江,Heilongjiang,North,Tier 5
保定,保定市,Baoding,河北,Hebei,North,Tier 3
保山,保山市,Baoshan,云南,Yunnan,West,Tier 5
信阳,信阳市,Xinyang,河南,Henan,North,Tier 5
儋州,儋州市,Danzhou,海南,Hainan,South,Tier 5
克孜勒苏柯尔克孜,克孜勒苏柯尔克孜自治州,Kezilesukeerkezi,新疆,xinjiang,West,Tier 5
克拉玛依,克拉玛依市,Karamay,新疆,Xinjiang,West,Tier 5
六安,六安市,Lu'an,安徽,Anhui,East,Tier 5
六盘水,六盘水市,Liupanshui,贵州,Guizhou,West,Tier 5
兰州,兰州市,Lanzhou,甘肃,Gansu,West,Tier 2
兴安盟,兴安盟,Xinganmeng,内蒙古,Neimenggu,North,Tier 5
内江,内江市,Neijiang,四川,Sichuan,West,Tier 5
凉山,凉山彝族自治州,Liangshan,四川,Sichuan,West,Tier 5
包头,包头市,Baotou,内蒙古,Neimenggu,North,Tier 3
北京,北京市,Beijing,北京,Beijing,North,Tier 5
北海,北海市,Beihai,广西,Guangxi,South,Tier 5
十堰,十堰市,Shiyan,湖北,Hubei,West,Tier 5
南京,南京市,Nanjing,江苏,Jiangsu,East,new Tier 1
南充,南充市,Nanchong,四川,Sichuan,West,Tier 3
南宁,南宁市,Nanning,广西,Guangxi,South,Tier 2
南平,南平市,Nanping,福建,Fujian,East,Tier 3
南昌,南昌市,Nanchang,江西,Jiangxi,South,Tier 2
南通,南通市,Nantong,江苏,Jiangsu,East,Tier 2
南阳,南阳市,Nanyang,河南,Henan,North,Tier 3
博尔塔拉,博尔塔拉蒙古自治州,Boertala,新疆,Xinjiang,West,Tier 5
厦门,厦门市,Xiamen,福建,Fujian,East,Tier 5
双鸭山,双鸭山市,Shuangyashan,黑龙江,Heilongjiang,North,Tier 5
台州,台州市,Taizhou,浙江,Zhejiang,East,Tier 2
合肥,合肥市,Hefei,安徽,Anhui,East,Tier 2
吉安,吉安市,Ji'an,江西,Jiangxi,South,Tier 5
吉林,吉林市,Jilin,吉林,Jilin,North,Tier 3
吐鲁番,吐鲁番地区,Tulufan,新疆,Xinjiang,West,Tier 5
吐鲁番,吐鲁番市,Turpan,新疆,Xinjiang,West,Tier 5
吕梁,吕梁市,Lüliang,山西,Shanxi,North,Tier 5
吴忠,吴忠市,Wuzhong,宁夏,Ningxia,West,Tier 5
周口,周口市,Zhoukou,河南,Henan,North,Tier 5
呼伦贝尔,呼伦贝尔市,Hulunbuir,内蒙古,Neimenggu,North,Tier 5
呼和浩特,呼和浩特市,Hohhot,内蒙古,Neimenggu,North,Tier 3
和田,和田地区,Hetian,新疆,Xinjiang,West,Tier 5
咸宁,咸宁市,Xianning,湖北,Hubei,West,Tier 5
咸阳,咸阳市,Xianyang,陕西,Shanxi,West,Tier 3
哈密,哈密地区,Hami,新疆,Xinjiang,West,Tier 5
哈尔滨,哈尔滨市,Harbin,黑龙江,Heilongjiang,North,Tier 2
唐山,唐山市,Tangshan,河北,Hebei,North,Tier 3
商丘,商丘市,Shangqiu,河南,Henan,North,Tier 5
商洛,商洛市,Shangluo,陕西,Shanxi,West,Tier 5
喀什,喀什地区,Kashen,新疆,Xinjiang,West,Tier 5
嘉兴,嘉兴市,Jiaxing,浙江,Zhejiang,East,Tier 2
嘉峪关,嘉峪关市,Jiayuguan,甘肃,Gansu,West,Tier 5
四平,四平市,Siping,吉林,Jilin,North,Tier 5
固原,固原市,Guyuan,宁夏,Ningxia,West,Tier 5
塔城,塔城地区,Tacheng,新疆,Xinjiang,West,Tier 5
大兴安岭,大兴安岭地区,Daxinganling,黑龙江,Heilongjiang,North,Tier 5
大同,大同市,Datong,山西,Shanxi,North,Tier 5
大庆,大庆市,Daqing,黑龙江,Heilongjiang,North,Tier 3
大理,大理白族自治州,Dali,云南,Yunnan,West,Tier 5
大连,大连市,Dalian,辽宁,Liaoning,North,new Tier 1
天水,天水市,Tianshui,甘肃,Gansu,West,Tier 5
天津,天津市,Tianjin,天津,Tianjin,North,new Tier 1
太原,太原市,Taiyuan,山西,Shanxi,North,Tier 2
威海,威海市,Weihai,山东,Shandong,North,Tier 3
娄底,娄底市,Loudi,湖南,Hunan,South,Tier 5
孝感,孝感市,Xiaogan,湖北,Hubei,West,Tier 3
宁德,宁德市,Ningde,福建,Fujian,East,Tier 3
宁波,宁波市,Ningbo,浙江,Zhejiang,East,new Tier 1
安庆,安庆市,Anqing,安徽,Anhui,East,Tier 5
安康,安康市,Ankang,陕西,Shanxi,West,Tier 5
安阳,安阳市,Anyang,河南,Henan,North,Tier 5
安顺,安顺市,Anshun,贵州,Guizhou,West,Tier 5
定西,定西市,Dingxi,甘肃,Gansu,West,Tier 5
宜宾,宜宾市,Yibin,四川,Sichuan,West,Tier 5
宜昌,宜昌市,Yichang,湖北,Hubei,West,Tier 3
宜春,宜春市,Yichun,江西,Jiangxi,South,Tier 5
宝鸡,宝鸡市,Baoji,陕西,Shanxi,West,Tier 5
宣城,宣城市,Xuancheng,安徽,Anhui,East,Tier 5
宿州,宿州市,Suzhou,安徽,Anhui,East,Tier 5
宿迁,宿迁市,Suqian,江苏,Jiangsu,East,Tier 5
山南,山南地区,Shannan,西藏,Xizang,West,Tier 5
山南,山南市,Shannan,西藏,Xizang,West,Tier 5
岳阳,岳阳市,Yueyang,湖南,Hunan,South,Tier 3
崇左,崇左市,Chongzuo,广西,Guangxi,South,Tier 5
巢湖,巢湖市,Chaohu,安徽,anhui,East,Tier 5
巴中,巴中市,Bazhong,四川,Sichuan,West,Tier 5
巴彦淖尔,巴彦淖尔市,Bayannur,内蒙古,Neimenggu,North,Tier 5
巴音郭楞,巴音郭楞蒙古自治州,Bayinguoleng,新疆,Xinjiang,West,Tier 5
常州,常州市,Changzhou,江苏,Jiangsu,East,Tier 2
常德,常德市,Changde,湖南,Hunan,South,Tier 5
平凉,平凉市,Pingliang,甘肃,Gansu,West,Tier 5
平顶山,平顶山市,Pingdingshan,河南,Henan,North,Tier 5
广元,广元市,Guangyuan,四川,Sichuan,West,Tier 5
广安,广安市,Guang'an,四川,Sichuan,West,Tier 5
