,province,city,lng,lat
0,黑龙江省,七台河市,131.003138,45.771726
1,海南省,三亚市,109.511909,18.252847
2,福建省,三明市,117.638678,26.263406
3,河南省,三门峡市,111.200135,34.772493
4,上海市,上海市,121.473701,31.230416
5,江西省,上饶市,117.943433,28.454863
6,广东省,东莞市,113.751765,23.020536
7,山东省,东营市,118.674767,37.434751
8,宁夏回族自治区,中卫市,105.196902,37.499972
9,广东省,中山市,113.392782,22.517645
10,山西省,临汾市,111.518976,36.088005
11,山东省,临沂市,118.356448,35.104672
12,云南省,临沧市,100.079583,23.877573
13,辽宁省,丹东市,124.354706,40.000499
14,浙江省,丽水市,119.922796,28.46763
15,云南省,丽江市,100.22775,26.855047
16,内蒙古自治区,乌兰察布市,113.132585,40.994785
17,内蒙古自治区,乌海市,106.794249,39.655388
18,新疆维吾尔自治区,乌鲁木齐市,87.616848,43.825592
19,四川省,乐山市,103.765568,29.552106
20,江西省,九江市,116.00193,29.705077
21,广东省,云浮市,112.044491,22.915094
22,安徽省,亳州市,115.778676,33.844582
23,黑龙江省,伊春市,128.841147,47.727536
24,新疆维吾尔自治区,伊犁哈萨克自治州,81.324136,43.916823
25,广东省,佛山市,113.121416,23.021548
26,黑龙江省,佳木斯市,130.318917,46.799922
27,河北省,保定市,115.464806,38.873891
28,云南省,保山市,99.161761,25.112046
29,河南省,信阳市,114.091023,32.146983
30,海南省,儋州市,109.580811,19.521134
31,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,76.167819,39.714526
32,新疆维吾尔自治区,克拉玛依市,84.889207,45.579888
33,安徽省,六安市,116.521854,31.733699
34,贵州省,六盘水市,104.830359,26.592666
35,甘肃省,兰州市,103.834303,36.061089
36,内蒙古自治区,兴安盟,122.067042,46.077561
37,四川省,内江市,105.058433,29.580228
38,四川省,凉山彝族自治州,102.267335,27.88161
39,内蒙古自治区,包头市,109.840347,40.657449
40,北京市,北京市,116.407526,39.90403
41,广西壮族自治区,北海市,109.119927,21.481254
42,湖北省,十堰市,110.79799,32.629397
43,江苏省,南京市,118.796877,32.060255
44,四川省,南充市,106.110698,30.837793
45,广西壮族自治区,南宁市,108.366543,22.817002
46,福建省,南平市,118.177708,26.641768
47,江西省,南昌市,115.858197,28.682892
48,江苏省,南通市,120.894291,31.980171
49,河南省,南阳市,112.528321,32.990833
50,新疆维吾尔自治区,博尔塔拉蒙古自治州,82.066159,44.905588
51,福建省,厦门市,118.089425,24.479833
52,黑龙江省,双鸭山市,131.159133,46.646508
53,浙江省,台州市,121.420757,28.656386
54,安徽省,合肥市,117.227239,31.820586
55,江西省,吉安市,114.992509,27.113443
56,吉林省,吉林市,126.549576,43.837883
57,新疆维吾尔自治区,吐鲁番地区,89.189651,42.951382
58,新疆维吾尔自治区,吐鲁番市,89.189651,42.951382
59,山西省,吕梁市,111.144319,37.518314
60,宁夏回族自治区,吴忠市,106.198393,37.99746
61,河南省,周口市,114.696951,33.626149
62,内蒙古自治区,呼伦贝尔市,119.765744,49.211574
63,内蒙古自治区,呼和浩特市,111.74918,40.842585
64,新疆维吾尔自治区,和田地区,79.922211,37.114157
65,湖北省,咸宁市,114.322492,29.841443
66,陕西省,咸阳市,108.708991,34.329605
67,新疆维吾尔自治区,哈密地区,93.513161,42.833248
68,黑龙江省,哈尔滨市,126.534967,45.803775
69,河北省,唐山市,118.180193,39.630867
70,河南省,商丘市,115.65637,34.414172
71,陕西省,商洛市,109.940477,33.870422
72,新疆维吾尔自治区,喀什地区,75.989755,39.4704
73,浙江省,嘉兴市,120.755486,30.746129
74,甘肃省,嘉峪关市,98.289152,39.77313
75,吉林省,四平市,124.350398,43.166419
76,宁夏回族自治区,固原市,106.24261,36.015855
77,新疆维吾尔自治区,塔城地区,82.980316,46.745364
78,黑龙江省,大兴安岭地区,124.71108,52.335206
79,山西省,大同市,113.300129,40.076762
80,黑龙江省,大庆市,125.103784,46.589309
81,云南省,大理白族自治州,100.267638,25.606486
82,辽宁省,大连市,121.614682,38.914003
83,甘肃省,天水市,105.724947,34.580863
84,天津市,天津市,117.200983,39.084158
85,山西省,太原市,112.548879,37.87059
86,山东省,威海市,122.120419,37.513068
87,湖南省,娄底市,111.993497,27.700062
88,湖北省,孝感市,113.916902,30.924568
89,福建省,宁德市,119.547932,26.665617
90,浙江省,宁波市,121.550357,29.874556
91,安徽省,安庆市,117.063754,30.543494
92,陕西省,安康市,109.029022,32.684714
93,河南省,安阳市,114.392392,36.097577
94,贵州省,安顺市,105.947593,26.253072
95,甘肃省,定西市,104.626282,35.580662
96,四川省,宜宾市,104.643215,28.751768
97,湖北省,宜昌市,111.286471,30.691967
98,江西省,宜春市,114.416778,27.815619
99,陕西省,宝鸡市,107.237974,34.361979
100,安徽省,宣城市,118.758816,30.940718
101,安徽省,宿州市,116.964356,33.646373
102,江苏省,宿迁市,118.275198,33.963232
103,西藏自治区,山南地区,91.766525,29.236023
104,西藏自治区,山南市,91.773134,29.237137
105,湖南省,岳阳市,113.128958,29.357104
106,广西壮族自治区,崇左市,107.364711,22.376532
107,安徽省,巢湖市,117.8618,31.598628
108,四川省,巴中市,106.747477,31.867903
109,内蒙古自治区,巴彦淖尔市,107.387657,40.743213
110,新疆维吾尔自治区,巴音郭楞蒙古自治州,86.145298,41.764115
111,江苏省,常州市,119.973987,31.810689
112,湖南省,常德市,111.698497,29.031673
113,甘肃省,平凉市,106.66524,35.543051
114,河南省,平顶山市,113.192661,33.766169
115,四川省,广元市,105.843357,32.435435
116,四川省,广安市,106.633212,30.455961
117,广东省,广州市,113.264434,23.129162
118,甘肃省,庆阳市,107.643631,35.709077
119,河北省,廊坊市,116.683752,39.538047
120,陕西省,延安市,109.489727,36.585455
121,吉林省,延边朝鲜族自治州,129.508946,42.891253
122,河南省,开封市,114.307581,34.797239
123,河北省,张家口市,114.887543,40.824418
124,湖南省,张家界市,110.479191,29.117096
125,甘肃省,张掖市,100.449818,38.925875
126,江苏省,徐州市,117.284124,34.205768
127,云南省,德宏傣族景颇族自治州,98.584895,24.433353
128,山东省,德州市,116.357464,37.434092
129,四川省,德阳市,104.397894,31.126855
130,山西省,忻州市,112.734174,38.416663
131,湖南省,怀化市,109.998488,27.554978
132,云南省,怒江傈僳族自治州,98.853097,25.852547
133,湖北省,恩施土家族苗族自治州,109.488172,30.272156
134,广东省,惠州市,114.416196,23.111847
135,四川省,成都市,104.066541,30.572269
136,江苏省,扬州市,119.412966,32.39421
137,河北省,承德市,117.96241,40.954071
138,江西省,抚州市,116.358181,27.949217
139,辽宁省,抚顺市,123.957208,41.880872
140,西藏自治区,拉萨市,91.140856,29.645554
141,广东省,揭阳市,116.372831,23.549993
142,四川省,攀枝花市,101.718637,26.582347
143,云南省,文山壮族苗族自治州,104.216248,23.400733
144,河南省,新乡市,113.9268,35.303004
145,江西省,新余市,114.917346,27.817808
146,江苏省,无锡市,120.31191,31.491169
148,西藏自治区,日喀则市,88.880583,29.266869
149,山东省,日照市,119.526888,35.416377
150,云南省,昆明市,102.832891,24.880095
151,新疆维吾尔自治区,昌吉回族自治州,87.308224,44.011182
153,西藏自治区,昌都市,97.17202,31.140969
154,云南省,昭通市,103.717465,27.338257
155,山西省,晋中市,112.752694,37.687024
156,山西省,晋城市,112.851831,35.490701
157,云南省,普洱市,100.966512,22.825065
158,江西省,景德镇市,117.178419,29.268835
159,云南省,曲靖市,103.796167,25.489999
160,山西省,朔州市,112.432825,39.331595
161,辽宁省,朝阳市,120.450372,41.573734
162,辽宁省,本溪市,123.766485,41.294175
163,广西壮族自治区,来宾市,109.221465,23.750306
164,浙江省,杭州市,120.15507,30.274084
165,吉林省,松原市,124.825117,45.141789
166,西藏自治区,林芝地区,94.361558,29.648943
167,西藏自治区,林芝市,94.361558,29.648943
168,青海省,果洛藏族自治州,100.244808,34.471431
169,山东省,枣庄市,117.323725,34.810487
170,广西壮族自治区,柳州市,109.415953,24.325502
171,湖南省,株洲市,113.134002,27.82755
172,广西壮族自治区,桂林市,110.290194,25.273566
173,广东省,梅州市,116.122238,24.288615
174,广西壮族自治区,梧州市,111.279115,23.476962
175,云南省,楚雄彝族自治州,101.528068,25.045532
176,陕西省,榆林市,109.734589,38.28539
177,甘肃省,武威市,102.638011,37.928264
178,湖北省,武汉市,114.305392,30.593098
179,贵州省,毕节地区,105.285011,27.301693
180,贵州省,毕节市,105.283992,27.302589
181,湖南省,永州市,111.613445,26.420394
182,陕西省,汉中市,107.023323,33.06748
183,广东省,汕头市,116.681972,23.354091
184,广东省,汕尾市,115.375278,22.786211
185,广东省,江门市,113.081901,22.578738
186,安徽省,池州市,117.491568,30.6648
187,辽宁省,沈阳市,123.431474,41.805698
188,河北省,沧州市,116.838834,38.304477
189,广西壮族自治区,河池市,108.085261,24.692931
190,广东省,河源市,114.700447,23.743538
191,福建省,泉州市,118.675675,24.874132
192,山东省,泰安市,117.087614,36.200252
193,江苏省,泰州市,119.923116,32.455778
194,四川省,泸州市,105.442258,28.871811
195,河南省,洛阳市,112.45404,34.619682
196,山东省,济南市,117.119999,36.651216
197,山东省,济宁市,116.587098,35.414921
198,江苏省,海东地区,121.198479,31.89315
199,青海省,海东市,102.104287,36.502039
200,青海省,海北藏族自治州,100.900997,36.954413
201,青海省,海南藏族自治州,100.620373,36.286437
202,海南省,海口市,110.198293,20.044001
203,青海省,海西蒙古族藏族自治州,97.369751,37.377139
204,山东省,淄博市,118.054927,36.813487
205,安徽省,淮北市,116.798265,33.955844
206,安徽省,淮南市,116.999932,32.625478
207,安徽省,淮南市,116.999932,32.625478
208,广东省,深圳市,114.057868,22.543099
209,广东省,清远市,113.056031,23.681763
210,浙江省,温州市,120.699366,27.994267
211,陕西省,渭南市,109.509786,34.499995
212,浙江省,湖州市,120.086823,30.894348
213,湖南省,湘潭市,112.944049,27.829738
214,湖南省,湘西土家族苗族自治州,109.739172,28.311947
215,广东省,湛江市,110.359377,21.270707
216,安徽省,滁州市,118.317106,32.301556
217,山东省,滨州市,117.970703,37.38199
218,河南省,漯河市,114.016539,33.581412
219,福建省,漳州市,117.647481,24.512948
220,山东省,潍坊市,119.161755,36.706774
221,广东省,潮州市,116.622603,23.65695
222,河南省,濮阳市,115.029215,35.761829
223,山东省,烟台市,121.447935,37.463822
224,河南省,焦作市,113.241823,35.215892
225,黑龙江省,牡丹江市,129.633168,44.551653
226,广西壮族自治区,玉林市,110.164756,22.636379
227,青海省,玉树藏族自治州,97.091934,33.011674
228,云南省,玉溪市,102.546543,24.352036
229,广东省,珠海市,113.576726,22.270715
230,甘肃省,甘南藏族自治州,102.911027,34.983385
231,四川省,甘孜藏族自治州,101.96231,30.04952
232,吉林省,白城市,122.839024,45.619641
233,吉林省,白山市,126.423587,41.939994
234,甘肃省,白银市,104.138559,36.544756
235,广西壮族自治区,百色市,106.618201,23.902333
236,湖南省,益阳市,112.35518,28.55386
237,江苏省,盐城市,120.163561,33.347382
238,辽宁省,盘锦市,122.070714,41.119997
239,四川省,眉山市,103.848538,30.075439
240,宁夏回族自治区,石嘴山市,106.383303,38.983236
241,河北省,石家庄市,114.514859,38.042306
242,福建省,福州市,119.296494,26.074507
243,河北省,秦皇岛市,119.600492,39.935385
244,云南省,红河哈尼族彝族自治州,103.374799,23.36313
245,浙江省,绍兴市,120.580232,30.029752
246,黑龙江省,绥化市,126.968887,46.653845
247,四川省,绵阳市,104.679114,31.46745
248,山东省,聊城市,115.985371,36.456703
249,广东省,肇庆市,112.465091,23.047191
250,四川省,自贡市,104.778442,29.33903
251,浙江省,舟山市,122.207215,29.985295
252,安徽省,芜湖市,118.432941,31.352859
253,江苏省,苏州市,120.585315,31.298886
254,广东省,茂名市,110.925456,21.662999
255,湖北省,荆州市,112.239741,30.335165
256,湖北省,荆门市,112.199265,31.035423
257,福建省,莆田市,119.007777,25.454084
258,山东省,莱芜市,117.676723,36.213813
259,山东省,菏泽市,115.480656,35.23375
260,江西省,萍乡市,113.854556,27.622768
261,辽宁省,营口市,122.235417,40.667012
262,辽宁省,葫芦岛市,120.836932,40.711052
263,安徽省,蚌埠市,117.389719,32.916287
264,河北省,衡水市,115.670177,37.73892
265,湖南省,衡阳市,112.571997,26.89323
266,浙江省,衢州市,118.859457,28.970079
267,湖北省,襄樊市,112.14415,32.042427
268,云南省,西双版纳傣族自治州,100.797777,22.007351
269,青海省,西宁市,101.778228,36.617144
270,陕西省,西安市,108.940174,34.341568
271,河南省,许昌市,113.85264,34.035506
272,广西壮族自治区,贵港市,109.598926,23.11153
273,贵州省,贵阳市,106.630153,26.647661
274,广西壮族自治区,贺州市,111.566694,24.403582
275,四川省,资阳市,104.627636,30.128901
276,江西省,赣州市,114.935029,25.831829
277,内蒙古自治区,赤峰市,118.886856,42.257817
278,吉林省,辽源市,125.143532,42.887918
279,辽宁省,辽阳市,123.236944,41.267244
280,四川省,达州市,107.468023,31.209571
281,山西省,运城市,111.007528,35.026412
282,江苏省,连云港市,119.221611,34.596653
283,云南省,迪庆藏族自治州,99.702234,27.818882
284,吉林省,通化市,125.939697,41.728401
285,内蒙古自治区,通辽市,122.243444,43.65289
286,四川省,遂宁市,105.592898,30.532847
287,贵州省,遵义市,106.927389,27.725654
288,河北省,邢台市,114.504844,37.070589
289,西藏自治区,那曲地区,92.051239,31.476202
290,河北省,邯郸市,114.538961,36.625657
291,湖南省,邵阳市,111.467791,27.238892
292,河南省,郑州市,113.625368,34.746599
293,湖南省,郴州市,113.014717,25.770509
294,内蒙古自治区,鄂尔多斯市,109.781327,39.608266
295,湖北省,鄂州市,114.894843,30.39194
296,甘肃省,酒泉市,98.494483,39.73241
297,重庆市,重庆市,106.551556,29.563009
298,浙江省,金华市,119.647444,29.079059
299,甘肃省,金昌市,102.188043,38.520089
300,广西壮族自治区,钦州市,108.654146,21.979933
301,辽宁省,铁岭市,123.726166,42.223769
302,贵州省,铜仁地区,109.191551,27.718346
303,贵州省,铜仁市,109.189598,27.731514
304,陕西省,铜川市,108.945233,34.896756
305,安徽省,铜陵市,117.812079,30.945429
306,宁夏回族自治区,银川市,106.230909,38.487193
307,内蒙古自治区,锡林郭勒盟,116.048222,43.933454
308,辽宁省,锦州市,121.127003,41.095119
309,江苏省,镇江市,119.425836,32.187849
310,吉林省,长春市,125.323544,43.817071
311,湖南省,长沙市,112.938814,28.228209
312,山西省,长治市,113.116255,36.195386
313,辽宁省,阜新市,121.670323,42.021619
314,安徽省,阜阳市,115.814204,32.890124
315,广西壮族自治区,防城港市,108.353846,21.68686
316,广东省,阳江市,111.982232,21.857958
317,山西省,阳泉市,113.580519,37.856971
318,新疆维吾尔自治区,阿克苏地区,80.260605,41.168779
319,新疆维吾尔自治区,阿勒泰地区,88.141253,47.844924
320,四川省,阿坝藏族羌族自治州,102.224653,31.899413
321,内蒙古自治区,阿拉善盟,105.728969,38.851892
322,西藏自治区,阿里地区,80.105804,32.501111
323,甘肃省,陇南市,104.921841,33.400684
324,湖北省,随州市,113.382458,31.690215
325,四川省,雅安市,103.013261,29.980537
326,山东省,青岛市,120.382639,36.067082
327,辽宁省,鞍山市,122.994329,41.108647
328,广东省,韶关市,113.597522,24.810403
329,安徽省,马鞍山市,118.506759,31.670452
330,河南省,驻马店市,114.022298,33.011529
331,黑龙江省,鸡西市,130.969333,45.295075
332,河南省,鹤壁市,114.297272,35.747225
333,黑龙江省,鹤岗市,130.297964,47.349916
334,江西省,鹰潭市,117.069202,28.260189
335,湖北省,黄冈市,114.872316,30.453905
336,青海省,黄南藏族自治州,102.015248,35.519548
337,安徽省,黄山市,118.337481,29.714655
338,湖北省,黄石市,115.03852,30.199652
339,黑龙江省,黑河市,127.52856,50.245329
340,贵州省,黔东南苗族侗族自治州,107.982859,26.583442
341,贵州省,黔南布依族苗族自治州,107.522097,26.254092
342,贵州省,黔西南布依族苗族自治州,104.906396,25.087825
343,黑龙江省,齐齐哈尔市,123.918186,47.354348
344,福建省,龙岩市,117.017536,25.075123
